日期,代码,名称,年管理费率,年托管费率,最新收盘价,60日均线,价格与60日均线关系,均线穿越,周MACD_DIF,周MACD_DEA,周MACD柱,MACD柱转向
2026-02-12,562590,华夏中证半导体材料设备主题ETF,0.50%,0.10%,1.908,1.7351,≥ 60日均线,,0.1701,0.1498,0.0407,
2026-02-12,512670,鹏华中证国防ETF,0.30%,0.10%,1.0,0.9059,≥ 60日均线,,0.0599,0.0454,0.029,
2026-02-12,159133,天弘中证细分化工产业主题ETF,0.50%,0.10%,,,N/A,,,,,
2026-02-12,510510,广发中证500ETF,0.50%,0.10%,2.688,2.4431,≥ 60日均线,,0.1526,0.1294,0.0463,
2026-02-12,159925,南方沪深300ETF,0.15%,0.05%,4.757,4.6649,≥ 60日均线,,0.1027,0.1173,-0.0292,
2026-02-12,159625,嘉实国证绿色电力ETF,0.50%,0.10%,1.219,1.2033,≥ 60日均线,,0.0097,0.0114,-0.0034,
2026-02-12,561360,国泰中证油气产业ETF,0.50%,0.10%,1.502,1.2724,≥ 60日均线,,0.0924,0.0638,0.0573,
2026-02-12,561380,国泰恒生A股电网设备ETF,0.50%,0.10%,2.034,1.728,≥ 60日均线,,0.175,0.1529,0.0442,
2026-02-12,159272,富国国证机器人产业ETF,0.50%,0.10%,0.954,0.9158,≥ 60日均线,,,,,
2026-02-12,511160,国债ETF东财,0.15%,0.05%,101.255,101.0256,≥ 60日均线,,0.2143,0.2064,0.0158,
2026-02-12,516310,易方达中证银行ETF,0.15%,0.05%,1.295,1.3362,< 60日均线,,-0.0124,-0.0029,-0.0192,
2026-02-12,159825,富国中证农业主题ETF,0.50%,0.10%,,,N/A,,,,,
2026-02-12,560080,汇添富中证中药ETF,0.50%,0.10%,1.056,1.0671,< 60日均线,,-0.007,-0.0048,-0.0044,
2026-02-12,512570,易方达中证全指证券公司ETF,0.50%,0.10%,1.189,1.209,< 60日均线,,0.0014,0.0093,-0.0158,
2026-02-12,159732,华夏国证消费电子主题ETF,0.50%,0.10%,1.162,1.1192,≥ 60日均线,,0.054,0.0572,-0.0064,
2026-02-12,159929,汇添富中证医药卫生ETF,0.50%,0.10%,1.372,1.3775,< 60日均线,,-0.009,-0.0018,-0.0143,
2026-02-12,560280,广发中证工程机械主题ETF,0.50%,0.10%,1.878,1.638,≥ 60日均线,,0.0947,0.0754,0.0386,
2026-02-12,159994,银华中证5G通信主题ETF,0.50%,0.10%,0.959,1.7648,< 60日均线,,0.0783,0.1504,-0.1442,
2026-02-12,159971,富国创业板ETF,0.15%,0.05%,1.156,1.2753,< 60日均线,,-0.1856,-0.1299,-0.1114,
2026-02-12,159857,天弘中证光伏产业ETF,0.50%,0.10%,0.958,0.8598,≥ 60日均线,,0.0619,0.0556,0.0127,
2026-02-12,588760,广发上证科创板人工智能ETF,0.50%,0.10%,0.878,0.7799,≥ 60日均线,,0.0394,0.0283,0.0223,
2026-02-12,510720,国泰上证国有企业红利ETF,0.50%,0.10%,0.997,0.9743,≥ 60日均线,,0.0003,-0.0004,0.0014,绿转红
2026-02-12,563000,易方达MSCI中国A50互联互通ETF,0.15%,0.05%,1.064,1.0639,≥ 60日均线,上穿60日均线,0.0321,0.0399,-0.0156,
2026-02-12,513070,易方达中证港股通消费主题ETF,0.15%,0.05%,1.417,1.351,≥ 60日均线,,0.0064,0.0039,0.0049,绿转红
2026-02-12,159876,华宝有色金属ETF,0.50%,0.10%,1.17,1.0285,≥ 60日均线,,0.054,0.0202,0.0676,
2026-02-12,159828,国泰中证医疗ETF,0.50%,0.10%,0.445,0.4408,≥ 60日均线,,0.0012,0.0017,-0.0011,
2026-02-12,159745,国泰中证全指建筑材料ETF,0.50%,0.10%,0.736,0.6767,≥ 60日均线,,0.0258,0.0188,0.014,
2026-02-12,159382,南方创业板人工智能ETF,0.50%,0.10%,2.452,2.1531,≥ 60日均线,,0.2328,0.2135,0.0386,
2026-02-12,589130,易方达上证科创板芯片ETF,0.50%,0.10%,,,N/A,,,,,
2026-02-12,159595,大成中证A50ETF,0.15%,0.05%,1.352,1.3379,≥ 60日均线,,0.0272,0.0325,-0.0107,
2026-02-12,159649,华安中债1-5年国开债ETF,0.15%,0.05%,109.026,108.6615,≥ 60日均线,,0.233,0.2114,0.0432,
2026-02-12,159673,鹏华沪深300ETF,0.15%,0.05%,1.292,1.2687,≥ 60日均线,,0.0339,0.0382,-0.0085,
2026-02-12,517300,国寿安保中证沪港深300ETF,0.50%,0.10%,0.955,0.9455,≥ 60日均线,,0.0211,0.0252,-0.0082,
2026-02-12,563390,华泰柏瑞中证全指自由现金流ETF,0.50%,0.10%,1.365,1.2891,≥ 60日均线,,0.0596,0.054,0.0112,
2026-02-12,159820,天弘中证500ETF,0.50%,0.10%,1.434,1.3045,≥ 60日均线,,0.0822,0.0697,0.025,
2026-02-12,560770,招商中证机器人ETF,0.50%,0.10%,1.066,0.9994,≥ 60日均线,,,,,
2026-02-12,159981,建信能源化工期货ETF,0.50%,0.10%,1.282,1.2534,≥ 60日均线,,-0.0035,-0.0144,0.0217,
2026-02-12,159110,万家深证AAA科技创新公司债ETF,0.15%,0.05%,100.85,100.2971,≥ 60日均线,,,,,
2026-02-12,561160,富国中证电池主题ETF,0.50%,0.10%,0.847,0.83,≥ 60日均线,,0.0502,0.0624,-0.0243,
2026-02-12,159357,博时中证A500ETF,0.15%,0.05%,1.311,1.2569,≥ 60日均线,,0.0479,0.047,0.0017,
2026-02-12,588890,南方上证科创板芯片ETF,0.50%,0.10%,3.014,2.7599,≥ 60日均线,,0.2169,0.2076,0.0187,
2026-02-12,510760,国泰上证综合交易ETF,0.15%,0.05%,1.345,1.2957,≥ 60日均线,,0.041,0.04,0.0019,
2026-02-12,515700,平安中证新能源汽车产业ETF,0.15%,0.05%,2.536,2.4671,≥ 60日均线,,0.1333,0.1551,-0.0436,
2026-02-12,512020,鹏华中证A500ETF,0.15%,0.05%,1.318,1.2664,≥ 60日均线,,0.048,0.0475,0.0008,
2026-02-12,560350,摩根中证A50ETF,0.15%,0.05%,1.283,1.2746,≥ 60日均线,,0.0219,0.0272,-0.0106,
2026-02-12,517380,天弘恒生沪深港创新药精选50ETF,0.50%,0.10%,0.799,0.7813,≥ 60日均线,,0.0113,0.0175,-0.0125,
2026-02-12,515680,嘉实中证央企创新驱动ETF,0.15%,0.05%,1.75,1.6491,≥ 60日均线,,0.051,0.0416,0.0188,
